Ei (MeV),Bi (s^-1)
4.14e-07,0.0144
0.11,0.0334
0.33,0.0313
0.54,0.0281
0.75,0.025
0.97,0.0214
1.18,0.0198
1.4,0.0175
1.61,0.0192
1.82,0.0223
2.04,0.0215
2.25,0.0225
2.47,0.0198
2.68,0.0295
2.9,0.0356
3.11,0.0369
3.32,0.0346
3.54,0.0307
3.75,0.03
3.97,0.0269
4.18,0.0286
4.39,0.0318
4.61,0.0307
4.82,0.0333
5.04,0.0304
5.25,0.0274
5.47,0.0233
5.68,0.0206
5.89,0.0182
6.11,0.0177
6.32,0.0204
6.54,0.018
6.75,0.0163
6.96,0.0168
7.18,0.0164
7.39,0.0188
7.61,0.0183
7.82,0.0169
8.03,0.0144
8.25,0.0144
8.46,0.00652
8.68,0.00426
8.89,0.00403
9.11,0.00381
9.32,0.00506
9.53,0.00625
9.75,0.00552
9.96,0.00468
10.2,0.0037
10.4,0.00278
10.6,0.00151
10.8,0.000363
11.0,0.000631
